+12V	83.85	126.53	0.00	B2B-XH-A	B2B-XH-A
74LVC125A	15.40	80.03	270.00	74LVC125A	74LVC125A
ADXL355Z	75.58	81.51	0.00	ADXL355Z	ADXL355Z
BATT	9.43	57.79	180.00	796136-1	796136-1
C1	-2.80	114.10	0.00	100nF	CAP-THRU-2.54MM
C10	8.70	117.40	180.00	4.7nF	CAP-THRU-2.54MM
C11	29.00	121.70	270.00	10nF	CAP-THRU-2.54MM
C12	33.00	126.90	90.00	12uF	CAPPRD254W65D500H1150B
C13	25.20	73.12	270.00	100nF	CAPC1608X85
C14	27.37	73.12	270.00	1uF	CAPC1608X85
C15	37.65	92.50	180.00	100nF	CAPC1608X85
C16	37.65	95.67	180.00	100nF	CAPC1608X85
C17	54.87	116.61	270.00	10uF	CAPC3216X135
C18	57.62	117.81	270.00	100nF	CAPC1608X85
C19	50.66	109.30	180.00	100nF	CAPC1608X85
C2	0.40	118.90	270.00	10uF	CAPPRD254W65D500H1150B
C3	56.30	126.60	90.00	10uF	CAPPRD254W65D500H1150B
C4	51.60	126.30	90.00	200nF	CAP-THRU-2.54MM
C5	43.30	126.80	90.00	100uF	CAPPRD254W65D500H1150B
C6	46.90	120.50	180.00	100uF	CAPPRD254W65D500H1150B
C7	53.90	120.90	180.00	100nF	CAP-THRU-2.54MM
C8	0.40	125.40	270.00	12uF	CAPPRD254W65D500H1150B
C9	5.30	114.10	180.00	100nF	CAP-THRU-2.54MM
CH340G	20.33	94.22	0.00	CH340G	CH340G
D1	50.38	69.71	0.00	DIODE_ES1D_SMA	DIOM5226X290N
D2	4.32	92.74	90.00	CHIP-FLAT-R_1206	LEDC3216X75N_FLAT-R
D3	29.96	92.51	0.00	DIODE_ES1D_SMA	DIOM5226X290N
D4	29.96	95.76	0.00	DIODE_ES1D_SMA	DIOM5226X290N
D5	31.31	114.41	180.00	DIODE_ES1D_SMA	DIOM5226X290N
D6	30.51	106.98	270.00	DIODE_ES1D_SMA	DIOM5226X290N
D7	37.95	126.89	270.00	CHIP-FLAT-R_1206	LEDC3216X75N_FLAT-R
DS3231	39.53	71.20	0.00	DS3231	DS3231
EN	43.80	103.03	180.00	SWITCH_MOMENTARY	SWITCH-MOMENTARY-PTH-6.5MM
ESP32-WROOM	80.51	58.18	180.00	ESP32-WROOM-32	ESP32-WROOM-32
GPS-FPGMMOPA6H	61.08	106.81	0.00	GPS-FGPMMOPA6H	GPS-FGPMMOPA6H
IO15/IO13/IO12/IO14	77.00	71.70	0.00	PINHD-1X4	1X04
JP1	8.75	104.00	0.00	PINHD-1X1	1X01
JP10	21.25	74.00	0.00	PINHD-1X2	1X02
JP11	15.75	74.50	0.00	PINHD-1X1	1X01
JP12	13.00	88.50	0.00	PINHD-1X1	1X01
JP13	50.00	79.75	0.00	PINHD-1X1	1X01
JP14	43.25	61.25	0.00	PINHD-1X1	1X01
JP15	51.05	114.75	0.00	PINHD-1X1	1X01
JP18	51.95	87.85	0.00	PINHD-1X1	1X01
JP19	38.20	112.15	180.00	PINHD-1X2	1X02
JP2	-0.15	93.65	0.00	PINHD-1X1	1X01
JP20	41.90	81.40	180.00	PINHD-1X2	1X02
JP21	94.00	51.50	0.00	PINHD-1X1	1X01
JP22	27.50	67.75	0.00	PINHD-1X1	1X01
JP23	26.75	86.00	0.00	PINHD-1X1	1X01
JP24	26.75	82.50	0.00	PINHD-1X1	1X01
JP25	23.30	113.80	0.00	PINHD-1X1	1X01
JP26	17.45	117.20	0.00	PINHD-1X1	1X01
JP27	17.55	125.65	0.00	PINHD-1X1	1X01
JP28	22.65	125.65	0.00	PINHD-1X1	1X01
JP3	-4.40	93.20	0.00	PINHD-1X2	1X02
JP4	10.80	92.25	0.00	PINHD-1X1	1X01
JP5	13.00	96.25	0.00	PINHD-1X1	1X01
JP6	48.05	114.75	0.00	PINHD-1X1	1X01
JP7	12.00	100.25	0.00	PINHD-1X1	1X01
JP8	9.25	80.00	0.00	PINHD-1X1	1X01
JP9	17.75	85.75	0.00	PINHD-1X1	1X01
L1	32.20	121.67	90.00	2uH	INDC2009X120
LD33V	64.83	125.61	270.00	LD33V-SMD	LD33V-SMD
